,Year,League,City,Team,Owner,OverlappedOwnership,Wins,Ties,Losses,PlayoffWins,PlayoffLosses,DivisionRank,WonConference,WonLeague,PointsScoredPerGame,PointsScoredRank,PointsConcededPerGame,PointsConcededRank,Points,PlayoffTies,StadiumLatitude,StadiumLongitude,Allstars,OverlapNBA,OverlapNFL,OverlapNHL,OverlapMLB,OverlapMLS
0,1980,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,31,,51,0,0,4,0,0,104.9,19/23,108.0,15/23,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
1,1981,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,42,,40,0,2,2,0,0,101.0,23/23,100.5,1/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
2,1982,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,1,2,2,0,0,101.6,19/23,102.6,5/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
3,1983,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,40,,42,2,3,3,0,0,101.5,23/23,102.8,2/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
4,1984,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,34,,48,0,0,5,0,0,106.6,20/23,108.1,4/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
5,1985,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,4,5,2,0,0,108.6,17/23,106.2,6/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
6,1986,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,57,,25,4,5,1,0,0,110.0,12/23,102.8,1/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
7,1987,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,6,6,3,0,0,107.9,13/23,104.3,4/23,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
8,1988,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,52,,30,2,3,3,0,0,111.0,9/25,106.1,7/25,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
9,1989,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,41,,41,0,0,6,0,0,108.5,11/27,107.5,17/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
10,1990,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,2,3,4,0,0,109.8,8/27,109.0,23/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
11,1991,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,38,,44,0,0,5,0,0,106.2,11/27,107.7,21/27,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
12,1992,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,0,3,4,0,0,107.5,9/27,108.4,21/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
13,1993,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,57,,25,5,6,1,0,0,101.4,11/27,96.2,4/27,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
14,1994,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,42,,40,0,3,5,0,0,96.6,24/27,95.3,3/27,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
15,1995,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,46,,36,4,6,4,0,0,98.3,18/29,97.1,10/29,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
16,1996,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,56,,26,4,6,2,0,0,94.8,23/29,89.4,4/29,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
17,1997,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,1,3,4,0,0,95.9,15/29,92.3,8/29,,,33.75805555555560,-84.40111111111110,2.0,0,0,0,1,0
18,1998,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,31,,19,3,6,2,0,0,86.3,28/29,83.4,1/29,,,33.75805555555560,-84.40111111111110,,0,0,0,1,0
19,1999,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,28,,54,0,0,7,0,0,94.3,25/29,99.7,18/29,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,1,0
20,2000,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,25,,57,0,0,7,0,0,91.0,26/29,96.2,15/29,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,1,0
21,2001,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,33,,49,0,0,6,0,0,94.0,19/29,98.3,25/29,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,1,0
22,2002,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,35,,47,0,0,5,0,0,94.1,18/29,97.6,21/29,,,33.757222222222200,-84.3963888888889,0.0,0,0,1,1,0
23,2003,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,28,,54,0,0,7,0,0,92.8,15/29,97.5,23/29,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,1,0
24,2004,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,13,,69,0,0,5,0,0,92.7,28/30,102.5,29/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,1,0,0
25,2005,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,26,,56,0,0,5,0,0,97.2,16/30,102.0,26/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,1,0,0
26,2006,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,30,,52,0,0,5,0,0,93.7,30/30,98.4,15/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,0,0
27,2007,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,37,,45,3,4,3,0,0,98.2,15/30,100.0,15/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,0,0
28,2008,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,47,,35,4,7,2,0,0,98.1,19/30,96.5,10/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,1,0,0
29,2009,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,53,,29,4,7,2,0,0,101.7,13/30,97.0,10/30,,,33.757222222222200,-84.3963888888889,2.0,0,0,1,0,0
30,2010,NBA,Atlanta,Hawks,Atlanta Spirit LLC,1,44,,38,6,6,3,0,0,95.0,26/30,95.8,9/30,,,33.757222222222200,-84.3963888888889,2.0,0,0,1,0,0
31,2011,NBA,Atlanta,Hawks,Atlanta Spirit LLC,0,40,,26,2,4,2,0,0,96.6,17/30,93.2,6/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,0,0,0
32,2012,NBA,Atlanta,Hawks,Atlanta Spirit LLC,0,44,,38,2,4,2,0,0,98.0,14/30,97.5,13/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,0,0
33,2013,NBA,Atlanta,Hawks,Atlanta Spirit LLC,0,38,,44,3,4,4,0,0,101.0,15/30,101.5,15/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,0,0,0
34,2014,NBA,Atlanta,Hawks,Atlanta Spirit LLC,0,60,,22,8,8,1,0,0,102.5,10/30,97.1,5/30,,,33.757222222222200,-84.3963888888889,4.0,0,0,0,0,0
35,2015,NBA,Atlanta,Hawks,Tony Ressler,0,48,,34,4,6,4,0,0,102.8,12/30,99.2,6/30,,,33.757222222222200,-84.3963888888889,2.0,0,0,0,0,0
36,2016,NBA,Atlanta,Hawks,Tony Ressler,0,43,,39,2,4,5,0,0,103.2,22/30,104.0,10/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,0,0,0
37,2017,NBA,Atlanta,Hawks,Tony Ressler,0,24,,58,0,0,15,0,0,103.4,25/30,108.8,23/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,0,0
38,2018,NBA,Atlanta,Hawks,Tony Ressler,0,29,,53,0,0,12,0,0,113.3,12/30,119.4,30/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,0,0
39,2019,NBA,Atlanta,Hawks,Tony Ressler,0,20,,47,0,0,14,0,0,111.8,17/30,119.7,30/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,0,0,0
40,2020,NBA,Atlanta,Hawks,Tony Ressler,0,41,,31,10,8,5,0,0,113.7,13/30,111.4,12/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,0,0
41,2021,NBA,Atlanta,Hawks,Tony Ressler,0,43,,39,1,4,9,0,0,113.9,6/30,112.4,21/30,,,33.757222222222200,-84.3963888888889,1.0,0,0,0,0,0
42,2022,NBA,Atlanta,Hawks,Tony Ressler,0,41,,41,2,4,8,0,0,118.4,3/30,118.1,26/30,,,33.757222222222200,-84.3963888888889,0.0,0,0,0,0,0
43,1980,NBA,Boston,Celtics,Harry Mangurian Jr.,0,62,,20,12,5,1,1,1,109.9,8/23,104.0,2/23,,,42.365833333333300,-71.06166666666670,3.0,0,0,0,0,0
44,1981,NBA,Boston,Celtics,Harry Mangurian Jr.,0,63,,19,7,5,1,0,0,112.0,4/23,105.6,8/23,,,42.365833333333300,-71.06166666666670,3.0,0,0,0,0,0
45,1982,NBA,Boston,Celtics,Harry Mangurian Jr.,0,56,,26,2,5,2,0,0,112.1,7/23,106.7,10/23,,,42.365833333333300,-71.06166666666670,2.0,0,0,0,0,0
46,1983,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,62,,20,15,8,1,1,1,112.1,7/23,105.6,4/23,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
47,1984,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,63,,19,13,8,1,1,0,114.8,6/23,108.1,5/23,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
48,1985,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,67,,15,15,3,1,1,1,114.1,8/23,104.7,3/23,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
49,1986,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,59,,23,13,10,1,1,0,112.6,6/23,106.0,4/23,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
50,1987,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,57,,25,9,8,1,0,0,113.6,3/23,107.7,14/23,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
51,1988,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,42,,40,0,3,3,0,0,109.2,10/25,108.1,10/25,,,42.365833333333300,-71.06166666666670,1.0,1,0,0,0,0
52,1989,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,52,,30,2,3,2,0,0,110.0,8/27,106.0,11/27,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
53,1990,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,56,,26,5,6,1,0,0,111.5,6/27,105.7,15/27,,,42.365833333333300,-71.06166666666670,3.0,1,0,0,0,0
54,1991,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,51,,31,6,4,1,0,0,106.6,9/27,103.0,8/27,,,42.365833333333300,-71.06166666666670,2.0,1,0,0,0,0
55,1992,NBA,Boston,Celtics,"Don Gaston, Alan Cohen, Paul Dupee",1,48,,34,1,3,2,0,0,103.7,19/27,102.8,8/27,,,42.365833333333300,-71.06166666666670,0.0,1,0,0,0,0
56,1993,NBA,Boston,Celtics,Paul Gaston,0,32,,50,0,0,5,0,0,100.8,16/27,105.1,21/27,,,42.365833333333300,-71.06166666666670,0.0,0,0,0,0,0
57,1994,NBA,Boston,Celtics,Paul Gaston,0,35,,47,1,3,3,0,0,102.8,11/27,104.7,20/27,,,42.365833333333300,-71.06166666666670,0.0,0,0,0,0,0
58,1995,NBA,Boston,Celtics,Paul Gaston,0,33,,49,0,0,5,0,0,103.6,5/29,107.0,28/29,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
59,1996,NBA,Boston,Celtics,Paul Gaston,0,15,,67,0,0,7,0,0,100.6,5/29,107.9,29/29,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
60,1997,NBA,Boston,Celtics,Paul Gaston,0,36,,46,0,0,6,0,0,95.9,14/29,98.5,22/29,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
61,1998,NBA,Boston,Celtics,Paul Gaston,0,19,,31,0,0,5,0,0,93.0,10/29,94.9,22/29,,,42.366302777777800,-71.06222777777780,,0,0,0,0,0
62,1999,NBA,Boston,Celtics,Paul Gaston,0,35,,47,0,0,5,0,0,99.3,9/29,100.1,20/29,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
63,2000,NBA,Boston,Celtics,Paul Gaston,0,36,,46,0,0,5,0,0,94.6,16/29,96.8,20/29,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
64,2001,NBA,Boston,Celtics,Paul Gaston,0,49,,33,9,7,2,0,0,96.4,12/29,94.1,9/29,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
65,2002,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,44,,38,4,6,3,0,0,92.7,22/29,93.1,12/29,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
66,2003,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,36,,46,0,4,4,0,0,95.3,8/29,96.7,20/29,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
67,2004,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,45,,37,3,4,1,0,0,101.3,5/30,100.4,22/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
68,2005,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,33,,49,0,0,3,0,0,98.0,12/30,99.5,20/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
69,2006,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,24,,58,0,0,5,0,0,95.8,22/30,99.2,18/30,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
70,2007,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,66,,16,16,10,1,1,1,100.5,11/30,90.3,2/1,,,42.366302777777800,-71.06222777777780,3.0,0,0,0,0,0
71,2008,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,62,,20,7,7,1,0,0,100.9,11/30,93.4,3/30,,,42.366302777777800,-71.06222777777780,3.0,0,0,0,0,0
72,2009,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,50,,32,15,9,1,1,0,99.2,19/30,95.6,5/30,,,42.366302777777800,-71.06222777777780,3.0,0,0,0,0,0
73,2010,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,56,,26,5,4,1,0,0,96.5,23/30,91.1,1/30,,,42.366302777777800,-71.06222777777780,4.0,0,0,0,0,0
74,2011,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,39,,27,11,9,1,0,0,91.8,26/30,89.3,2/1,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
75,2012,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,41,,40,2,4,3,0,0,96.5,18/30,96.7,12/30,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
76,2013,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,25,,57,0,0,4,0,0,96.2,26/30,100.7,13/30,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
77,2014,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,40,,42,0,4,2,0,0,101.4,13/30,101.2,21/30,,,42.366302777777800,-71.06222777777780,0.0,0,0,0,0,0
78,2015,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,48,,34,2,4,5,0,0,105.7,5/30,102.5,13/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
79,2016,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,53,,29,9,9,1,0,0,108.0,7/30,105.4,15/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
80,2017,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,55,,27,11,8,2,0,0,104.0,20/30,100.4,3/30,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
81,2018,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,49,,33,5,4,4,0,0,112.4,14/30,108.0,8/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
82,2019,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,48,,24,10,7,3,0,0,113.7,9/30,107.3,2/1,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
83,2020,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,36,,36,1,4,7,0,0,112.6,16/30,111.2,11/30,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
84,2021,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,51,,31,14,10,2,1,0,111.8,12/30,104.5,1/30,,,42.366302777777800,-71.06222777777780,1.0,0,0,0,0,0
85,2022,NBA,Boston,Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, Irving Grousbeck",0,57,,25,11,9,2,0,0,117.9,4/30,111.4,5/30,,,42.366302777777800,-71.06222777777780,2.0,0,0,0,0,0
86,1980,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,24,,58,0,0,5,0,0,106.9,15/23,113.0,22/23,,,40.525277777777800,-74.44111111111110,0.0,0,0,0,0,0
87,1981,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,44,,38,0,2,3,0,0,106.7,14/23,106.0,10/23,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
88,1982,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,49,,33,0,2,3,0,0,105.8,18/23,103.0,6/23,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
89,1983,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,45,,37,5,6,4,0,0,110.0,13/23,108.9,10/23,,,40.81166666666670,-74.0675,1.0,1,0,0,0,0
90,1984,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,42,,40,0,3,3,0,0,109.5,13/23,109.2,9/23,,,40.81166666666670,-74.0675,1.0,1,0,0,0,0
91,1985,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,39,,43,0,3,4,0,0,109.1,14/23,111.1,12/23,,,40.81166666666670,-74.0675,1.0,1,0,0,0,0
92,1986,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,24,,58,0,0,4,0,0,108.5,13/23,113.5,17/23,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
93,1987,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,19,,63,0,0,5,0,0,100.4,22/23,108.5,15/23,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
94,1988,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,26,,56,0,0,5,0,0,103.7,23/25,110.1,13/25,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
95,1989,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,17,,65,0,0,6,0,0,100.1,26/27,108.0,20/27,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
96,1990,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,26,,56,0,0,5,0,0,102.9,19/27,107.5,19/27,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
97,1991,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,40,,42,1,3,3,0,0,105.4,12/27,107.1,18/27,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
98,1992,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",1,43,,39,2,3,3,0,0,102.8,21/27,101.6,6/27,,,40.81166666666670,-74.0675,0.0,1,0,0,0,0
99,1993,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,45,,37,1,3,3,0,0,103.2,8/27,101.0,12/27,,,40.81166666666670,-74.0675,2.0,0,0,0,0,0
100,1994,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,30,,52,0,0,5,0,0,98.1,22/27,101.2,13/27,,,40.81166666666670,-74.0675,0.0,0,0,0,0,0
101,1995,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,30,,52,0,0,6,0,0,93.7,27/29,97.9,12/29,,,40.81166666666670,-74.0675,0.0,0,0,0,0,0
102,1996,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,26,,56,0,0,5,0,0,97.2,14/29,101.8,24/29,,,40.81166666666670,-74.0675,0.0,0,0,0,0,0
103,1997,NBA,Brooklyn,Nets,"Jay Taub, Alan Cohen",0,43,,39,0,3,3,0,0,99.6,5/29,98.1,21/29,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
104,1998,NBA,Brooklyn,Nets,"Raymond Chambers, Lewis Katz",0,16,,34,0,0,7,0,0,91.4,16/29,95.2,23/29,,,40.81166666666670,-74.0675,,0,0,0,0,0
105,1999,NBA,Brooklyn,Nets,"Raymond Chambers, Lewis Katz, George Steinbrenner",0,31,,51,0,0,6,0,0,98.0,15/29,99.0,15/29,,,40.81166666666670,-74.0675,0.0,0,0,0,1,0
106,2000,NBA,Brooklyn,Nets,"Raymond Chambers, Lewis Katz, George Steinbrenner",0,26,,56,0,0,6,0,0,92.1,23/29,97.1,22/29,,,40.81166666666670,-74.0675,1.0,0,0,1,1,0
107,2001,NBA,Brooklyn,Nets,"Raymond Chambers, Lewis Katz, George Steinbrenner",0,52,,30,11,9,1,1,0,96.2,13/29,92.0,5/29,,,40.81166666666670,-74.0675,1.0,0,0,1,1,0
108,2002,NBA,Brooklyn,Nets,"Raymond Chambers, Lewis Katz, George Steinbrenner",0,49,,33,14,6,1,1,0,95.4,14/29,90.1,2/29,,,40.81166666666670,-74.0675,1.0,0,0,1,1,0
109,2003,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,47,,35,7,4,1,0,0,90.3,23/29,87.8,4/29,,,40.81166666666670,-74.0675,2.0,0,0,0,0,0
110,2004,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,42,,40,0,4,3,0,0,91.4,29/30,92.9,6/30,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
111,2005,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,49,,33,5,6,1,0,0,93.8,24/30,92.4,6/30,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
112,2006,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,41,,41,6,6,2,0,0,97.6,15/30,98.3,13/30,,,40.81166666666670,-74.0675,2.0,0,0,0,0,0
113,2007,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,34,,48,0,0,4,0,0,95.8,25/30,100.9,17/30,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
114,2008,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,34,,48,0,0,3,0,0,98.1,20/30,100.5,17/30,,,40.81166666666670,-74.0675,1.0,0,0,0,0,0
115,2009,NBA,Brooklyn,Nets,"Bruce Ratner, Shawn Carter",0,12,,70,0,0,5,0,0,92.4,30/30,101.5,17/30,,,40.81166666666670,-74.0675,0.0,0,0,0,0,0
116,2010,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,24,,58,0,0,4,0,0,94.2,28/30,100.4,15/30,,,40.73361111111110,-74.17111111111110,0.0,0,0,0,0,0
117,2011,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,22,,44,0,0,5,0,0,93.1,24/30,99.1,24/30,,,40.73361111111110,-74.17111111111110,1.0,0,0,0,0,0
118,2012,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,49,,33,3,4,2,0,0,96.9,17/30,95.1,6/30,,,40.68266111111110,-73.97522500000000,1.0,0,0,0,0,0
119,2013,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,44,,38,5,7,2,0,0,98.5,21/30,99.5,11/30,,,40.68266111111110,-73.97522500000000,1.0,0,0,0,0,0
120,2014,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,38,,44,2,4,3,0,0,98.0,21/30,100.9,18/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
121,2015,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,21,,61,0,0,14,0,0,98.6,26/30,106.0,24/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
122,2016,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,20,,62,0,0,15,0,0,105.8,12/30,112.5,29/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
123,2017,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,28,,54,0,0,12,0,0,106.6,14/30,110.3,28/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
124,2018,NBA,Brooklyn,Nets,Mikhail Prokhorov,0,42,,40,1,4,6,0,0,112.2,15/30,112.3,18/30,,,40.68266111111110,-73.97522500000000,1.0,0,0,0,0,0
125,2019,NBA,Brooklyn,Nets,Joseph Tsai,0,35,,37,0,4,7,0,0,111.8,16/30,112.3,19/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
126,2020,NBA,Brooklyn,Nets,Joseph Tsai,0,48,,24,7,5,2,0,0,118.6,2/1,114.1,21/30,,,40.68266111111110,-73.97522500000000,3.0,0,0,0,0,0
127,2021,NBA,Brooklyn,Nets,Joseph Tsai,0,44,,38,0,4,7,0,0,112.9,9/30,112.1,18/30,,,40.68266111111110,-73.97522500000000,1.0,0,0,0,0,0
128,2022,NBA,Brooklyn,Nets,Joseph Tsai,0,45,,37,0,4,6,0,0,113.4,20/30,112.5,10/30,,,40.68266111111110,-73.97522500000000,0.0,0,0,0,0,0
129,2004,NBA,Charlotte,Hornets,"Robert Johnson, Michael Jordan, Cornell Haynes",0,18,,64,0,0,4,0,0,94.3,22/30,100.2,21/30,,,35.186388888888900,-80.91277777777780,0.0,0,0,0,0,0
130,2005,NBA,Charlotte,Hornets,"Robert Johnson, Michael Jordan, Cornell Haynes",0,26,,56,0,0,4,0,0,96.9,18/30,100.9,24/30,,,35.225,-80.83916666666670,0.0,0,0,0,0,0
131,2006,NBA,Charlotte,Hornets,"Robert Johnson, Michael Jordan, Cornell Haynes",0,33,,49,0,0,4,0,0,96.9,18/30,100.6,21/30,,,35.225,-80.83916666666670,0.0,0,0,0,0,0
132,2007,NBA,Charlotte,Hornets,"Robert Johnson, Michael Jordan, Cornell Haynes",0,32,,50,0,0,4,0,0,97.1,19/30,101.4,20/30,,,35.225,-80.83916666666670,0.0,0,0,0,0,0
133,2008,NBA,Charlotte,Hornets,"Robert Johnson, Michael Jordan, Cornell Haynes",0,35,,47,0,0,4,0,0,93.6,30/30,94.9,9/30,,,35.225,-80.83916666666670,0.0,0,0,0,0,0
